Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Min Packet Length,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_win_bytes_forward,Init_win_bytes_backward,Active Std,Active Mean,Active Max,Idle Std
443,0.438849,0,0,0,100000.0,0,100000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100000000.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43498,0.438821,0,0,0,100000.0,0,100000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100000000.0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
